y_actual,y_pred_point,low_90,high_90,covered_90,width_90,low_85,high_85,covered_85,low_80,high_80,covered_80
20685000.0,20401482.888846636,6756157.857821944,33098788.057243194,True,26342630.19942125,9514617.192159507,31773392.958395775,True,10003691.311270567,31805199.078021005,True
5569400.0,4110758.350253586,1990872.9782603465,24143509.87898493,True,22152636.900724586,2981412.2755131843,9630721.286858136,True,2258689.6130903494,12310289.943516329,True
3454000.0,3163800.2598169115,870746.9384528415,5517644.934815329,True,4646897.996362487,1080607.8220373823,5350282.818429802,True,1180116.6912090324,5185426.50986197,True
1381000.0,3789707.903591561,798224.2336540883,9652424.320021119,True,8854200.08636703,1022095.1361550611,8439960.011278652,True,1168200.7840569473,7893508.747342886,True
4245750.0,3059925.4614561456,631892.396831592,6859903.344876452,True,6228010.948044861,981772.7482135763,5916023.330930639,True,1192157.0263684562,5436412.012986584,True
4052952.0,4128154.110049174,2294026.1806255486,7292290.3859872585,True,4998264.20536171,2422580.538239125,6713428.08356777,True,2601213.5929285227,6271207.801071227,True
4117000.0,2864347.253918186,951223.4734277892,5257080.66276646,True,4305857.189338671,1171862.7157869232,4577596.8661699705,True,1342595.0722171683,4822142.925071346,True
15725000.0,27951070.54976668,9153995.741422337,84926757.72487526,True,75772761.98345292,9858752.675667383,74152821.10504349,True,12569083.353935659,64468165.5821291,True
2070000.0,3161140.1206216263,431162.58584807836,8647062.787801424,True,8215900.201953346,268045.50536837836,7997050.688381687,True,492863.4170268603,7731997.515633514,True
31500000.0,29026440.151987854,14480998.509383747,46509966.927276865,True,32028968.41789312,16989339.597248178,46244741.02665453,True,19385778.29282883,42397516.44095642,True
10044000.0,7437117.070439181,4724800.821369145,9495467.546999803,False,4770666.725630658,4477234.647359938,8634805.537432676,False,4754279.109281449,8967535.153286647,False
7866887.0,6624479.008931092,3332112.472046583,9158150.681253918,True,5826038.209207335,3869451.79079831,9256320.107950063,True,3983348.7246788684,9098117.526167117,True
73000000.0,61995616.5505192,35385437.57153615,124461460.58838792,True,89076023.01685177,34549875.522442326,105810471.7588486,True,39560619.504120246,110375418.40372926,True
46000000.0,55512143.841184884,27863572.382165443,141550541.92792895,True,113686969.54576351,29072382.417387124,130600040.43439409,True,31675717.28687089,124880888.48437391,True
1600000.0,2356751.883028594,624050.1492028753,4792954.670121308,True,4168904.520918433,851017.7111590538,4019844.3287840695,True,865037.5095046329,3603720.210550461,True
5918000.0,4503676.3361492185,1674105.7900320531,9382070.139771858,True,7707964.349739805,1698117.2393721533,3701004.851309663,False,1809208.0097399761,6314615.18121716,True
9796000.0,5815464.574173255,3333719.977561064,8513479.088228064,False,5179759.110667,3785173.9645763193,7884422.479820307,False,4052342.2957789088,7283121.945406627,False
57999999.0,63353391.73928299,26904965.563553207,103647816.79381336,True,76742851.23026016,31007066.98428886,106438648.80169971,True,34214041.67438545,96398897.15182543,True
